Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
2 e.srt,4,5,"00:00:25,217 --> 00:00:27,636","00:00:28,637 --> 00:00:31,765",4,"00:00:25,217 --> 00:00:31,765","and one of you lot let off one of those, and then this plane goes down.","I don't know any of these people, but if they try something and one of you lot let off one of those, and then this plane goes down."
2 e.srt,11,13,"00:00:44,528 --> 00:00:46,238","00:00:48,866 --> 00:00:51,994",10,"00:00:44,528 --> 00:00:51,994",then that man came rushing into first class,"You was gonna do this later on in the flight, then that man came rushing into first class and he was worried and panicking and then you gave him a green hat."
2 e.srt,18,19,"00:01:02,045 --> 00:01:03,922","00:01:04,922 --> 00:01:06,967",15,"00:01:02,045 --> 00:01:06,967",imagine what could happen in the next six.,"Look, if it's all going wrong in the first hour, imagine what could happen in the next six."
2 e.srt,47,48,"00:05:28,145 --> 00:05:29,605","00:05:29,688 --> 00:05:32,983",43,"00:05:28,145 --> 00:05:32,983","to call someone you haven't seen in about, what, five years?","7 a.m. is way too early to call someone you haven't seen in about, what, five years?"
2 e.srt,55,56,"00:05:47,581 --> 00:05:50,022","00:05:50,023 --> 00:05:51,668",50,"00:05:47,581 --> 00:05:51,668",saying there was an incident on board.,He messaged her straight after takeoff saying there was an incident on board.
2 e.srt,105,106,"00:09:22,755 --> 00:09:25,090","00:09:25,174 --> 00:09:27,176",99,"00:09:22,755 --> 00:09:27,176","till you're ready to come to work, shall I?","Okay, well, I'll just tell the plane to keep circling till you're ready to come to work, shall I?"
2 e.srt,107,109,"00:09:27,259 --> 00:09:29,803","00:09:31,221 --> 00:09:33,807",100,"00:09:27,259 --> 00:09:33,807","which means he's off school today,","Look, Bobby had his appendix out yesterday, which means he's off school today, which means I need to find alternative childcare."
2 e.srt,183,185,"00:15:56,023 --> 00:15:59,318","00:16:02,863 --> 00:16:07,242",174,"00:15:56,023 --> 00:16:07,242","I get a message on my flight screen here that shows you there,","Okay. Well, if I press autopilot there, I get a message on my flight screen here that shows you there, if you look, the autopilot AP1 is engaged."
2 e.srt,199,200,"00:16:59,920 --> 00:17:02,131","00:17:02,214 --> 00:17:04,216",188,"00:16:59,920 --> 00:17:04,216",that took off this morning.,We think there might be a problem with one of the aircraft that took off this morning.
2 e.srt,258,259,"00:21:19,221 --> 00:21:20,347","00:21:20,431 --> 00:21:22,975",246,"00:21:19,221 --> 00:21:22,975","whatever we thought was happening on that plane, he's okay.","The main thing is, whatever we thought was happening on that plane, he's okay."
