Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
10e.srt,3,4,"00:00:22,232 --> 00:00:24,317","00:00:24,401 --> 00:00:26,861",3,"00:00:22,232 --> 00:00:26,861",even though it does seem very… [inhales sharply] …very pretty.,"No, no. There is something wrong with this house, even though it does seem very… [inhales sharply] …very pretty."
10e.srt,18,19,"00:01:00,228 --> 00:01:02,022","00:01:02,105 --> 00:01:06,401",17,"00:01:00,228 --> 00:01:06,401","that last year there was a triple homicide on site, but, I mean, the school district.","We are legally obligated to tell you that last year there was a triple homicide on site, but, I mean, the school district."
10e.srt,21,22,"00:01:07,652 --> 00:01:11,114","00:01:11,197 --> 00:01:13,199",19,"00:01:07,652 --> 00:01:13,199",Just don't Google the O'Connells.,- Great. I am so happy for you two. - [laughs] Just don't Google the O'Connells.
10e.srt,47,48,"00:02:31,319 --> 00:02:33,446","00:02:33,530 --> 00:02:34,656",44,"00:02:31,319 --> 00:02:34,656","""How many bridesmaids?""","First thing the wedding planner asks me is, ""How many bridesmaids?"""
10e.srt,50,51,"00:02:36,616 --> 00:02:38,410","00:02:38,493 --> 00:02:41,746",46,"00:02:36,616 --> 00:02:41,746",You should use the wedding planner that Charlie and I had.,- I am too old for bridesmaids. - [chuckles] You should use the wedding planner that Charlie and I had.
10e.srt,54,55,"00:02:47,627 --> 00:02:49,107","00:02:49,170 --> 00:02:53,174",49,"00:02:47,627 --> 00:02:53,174","- Wow, ""Natural causes."" - Oh, very chill. Like, literally chill.","- Oh, God. She's dead. - [smacks lips] - Wow, ""Natural causes."" - Oh, very chill. Like, literally chill."
10e.srt,66,67,"00:03:18,909 --> 00:03:21,453","00:03:21,536 --> 00:03:24,456",60,"00:03:18,909 --> 00:03:24,456",Are you inviting Will to the housewarming?,- Sure. Sure. [chuckles] - [chuckling] Are you inviting Will to the housewarming?
10e.srt,69,70,"00:03:28,376 --> 00:03:32,422","00:03:32,505 --> 00:03:35,133",62,"00:03:28,376 --> 00:03:35,133","we just, like, get carried away and act like idiots.","And it's people from different worlds and, you know, when Will and I get together, we just, like, get carried away and act like idiots."
10e.srt,79,80,"00:04:01,493 --> 00:04:03,245","00:04:03,328 --> 00:04:05,245",71,"00:04:01,493 --> 00:04:05,245",Relax. I didn't say you were gonna plan my wedding.,"I'm not planning your wedding, so… Relax. I didn't say you were gonna plan my wedding."
10e.srt,87,88,"00:04:17,634 --> 00:04:20,720","00:04:21,304 --> 00:04:23,390",78,"00:04:17,634 --> 00:04:23,390","and the second one is ""Two Minutes to Midnight.""","Okay, cool, cool. So the first one is ""Once Upon a Wedding,"" and the second one is ""Two Minutes to Midnight."""
10e.srt,106,107,"00:05:03,263 --> 00:05:05,765","00:05:05,849 --> 00:05:09,394",96,"00:05:03,263 --> 00:05:09,394",- I wanna swing. - But you've been swinging this whole time.,- And Maeve. Even Maeve's got a friend. - [inhales deeply] - I wanna swing. - But you've been swinging this whole time.
10e.srt,128,129,"00:05:57,234 --> 00:05:58,610","00:05:58,693 --> 00:06:03,323",117,"00:05:57,234 --> 00:06:03,323","""You buy a thing, all your problems go away."" [chuckles]","You know the old saying, ""You buy a thing, all your problems go away."" [chuckles]"
10e.srt,146,147,"00:06:47,742 --> 00:06:49,159","00:06:49,202 --> 00:06:51,286",134,"00:06:47,742 --> 00:06:51,286","- Hey, are you guys all right? - [Diane] What happened?","- Well, that's good. - [glass shatters] - Hey, are you guys all right? - [Diane] What happened?"
10e.srt,150,151,"00:06:57,002 --> 00:06:58,085","00:06:58,128 --> 00:07:00,463",137,"00:06:57,002 --> 00:07:00,463",I can pull this whole thing up and plug it back in.,"[Will] If I can get on this roof, I can pull this whole thing up and plug it back in."
10e.srt,158,159,"00:07:15,896 --> 00:07:16,897","00:07:17,689 --> 00:07:20,442",144,"00:07:15,896 --> 00:07:20,442",[both] Hey!,And… [both] Hey!
10e.srt,169,170,"00:07:42,756 --> 00:07:44,214","00:07:44,257 --> 00:07:47,552",154,"00:07:42,756 --> 00:07:47,552","He makes these, like, insane beers. They all have, like, a hook to them.","- It is fucked up, honestly. - [sighs] He makes these, like, insane beers. They all have, like, a hook to them."
10e.srt,171,172,"00:07:47,636 --> 00:07:49,344","00:07:49,387 --> 00:07:52,182",155,"00:07:47,636 --> 00:07:52,182","- Cinnamon Toast stout. - Oh, dear.","- A hook? What do you mean? - Yeah, like, uh, - Cinnamon Toast stout. - Oh, dear."
10e.srt,174,175,"00:07:57,938 --> 00:07:59,731","00:07:59,814 --> 00:08:02,108",157,"00:07:57,938 --> 00:08:02,108",You'd probably like it though. It's very sweet and sugary.,"- No. I mean, it's gross. - [chuckles] You'd probably like it though. It's very sweet and sugary."
10e.srt,183,184,"00:08:16,122 --> 00:08:17,666","00:08:17,749 --> 00:08:20,293",165,"00:08:16,122 --> 00:08:20,293",'cause it did not seem to negatively impact his view of me.,"He must fight a lot of motherfuckers, 'cause it did not seem to negatively impact his view of me."
10e.srt,185,187,"00:08:20,794 --> 00:08:22,045","00:08:25,131 --> 00:08:27,300",166,"00:08:20,794 --> 00:08:27,300","I'm not taking the job, for the record, but…","- I-It's insane. - [chuckling] I'm not taking the job, for the record, but… - Vroom, vroom. - Vroom, vroom is right."
10e.srt,189,192,"00:08:40,020 --> 00:08:42,106","00:08:46,319 --> 00:08:47,486",168,"00:08:40,020 --> 00:08:47,486",- I'm kinda afraid to say what I just saw. - [chuckles],"Uh, if I'm being honest, - I'm kinda afraid to say what I just saw. - [chuckles] Was that, like, an army helicopter, - or a drone or something? - No."
10e.srt,214,215,"00:09:40,123 --> 00:09:42,417","00:09:42,500 --> 00:09:45,420",190,"00:09:40,123 --> 00:09:45,420","that was just above our house two minutes ago, right up there.","- We saw a UFO! - I am talking about the UFO that was just above our house two minutes ago, right up there."
