Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
1 eng.srt,15,16,"00:02:04,082 --> 00:02:06,210","00:02:08,502 --> 00:02:09,713",15,"00:02:04,082 --> 00:02:09,713","Everybody, duck!","- I shucked it myself. There he is! - [BOTH LAUGH] Everybody, duck!"
1 eng.srt,23,24,"00:02:23,268 --> 00:02:25,020","00:02:26,230 --> 00:02:27,606",22,"00:02:23,268 --> 00:02:27,606","Benjamin, what's going on?","Ooh, I ought to… Benjamin, what's going on?"
1 eng.srt,38,39,"00:02:54,216 --> 00:02:56,677","00:02:56,760 --> 00:02:57,987",36,"00:02:54,216 --> 00:02:57,987",- Top. - I pressed the wrong one.,"- Okay, um… [SIGHS] - [CHUCKLES] - Top. - I pressed the wrong one."
1 eng.srt,68,69,"00:05:14,815 --> 00:05:17,317","00:05:17,401 --> 00:05:19,879",65,"00:05:14,815 --> 00:05:19,879","- for you for this afternoon. - Oh, my gosh. They're all over me.","I made an appointment with Dr. Herschkopf - for you for this afternoon. - Oh, my gosh. They're all over me."
1 eng.srt,73,74,"00:05:29,162 --> 00:05:30,372","00:05:30,455 --> 00:05:32,892",69,"00:05:29,162 --> 00:05:32,892",- I don't want to talk to some stranger... - He's not a stranger.,"- Why can't you go? - Look, - I don't want to talk to some stranger... - He's not a stranger."
1 eng.srt,113,114,"00:07:01,505 --> 00:07:03,882","00:07:06,260 --> 00:07:07,261",108,"00:07:01,505 --> 00:07:07,261",I wanna see him.,- Okay. [CLEARS THROAT] - [SIGHS] I wanna see him.
1 eng.srt,123,124,"00:07:26,780 --> 00:07:27,948","00:07:28,031 --> 00:07:29,658",117,"00:07:26,780 --> 00:07:29,658","- accuse me of that? - Oh, didn't you?","How fucking dare you - accuse me of that? - Oh, didn't you?"
1 eng.srt,127,128,"00:07:32,953 --> 00:07:36,498","00:07:36,582 --> 00:07:38,542",120,"00:07:32,953 --> 00:07:38,542",- Oh. - …and I will not let you exploit him.,"In fact, he's too nice. But I don't suffer from that particular affliction… - Oh. - …and I will not let you exploit him."
1 eng.srt,131,133,"00:07:42,754 --> 00:07:44,131","00:07:46,175 --> 00:07:47,718",123,"00:07:42,754 --> 00:07:47,718",but a sister will rip out your goddamn trachea,"A guard dog will just bite you, but a sister will rip out your goddamn trachea and play it like a fucking flute."
1 eng.srt,140,142,"00:07:59,521 --> 00:08:00,896","00:08:02,399 --> 00:08:06,320",130,"00:07:59,521 --> 00:08:06,320",Okay. Um… [CHUCKLES],"Okay. Um… [CHUCKLES] Okay. Um… [CHUCKLES] If he doesn't call me by this afternoon, there's gonna be trouble."
1 eng.srt,157,158,"00:08:38,894 --> 00:08:40,395","00:08:40,479 --> 00:08:42,563",145,"00:08:38,894 --> 00:08:42,563",the traveler curtain in cotton velvet velour.,"Let's see, you, uh... You ordered the traveler curtain in cotton velvet velour."
1 eng.srt,164,165,"00:08:55,244 --> 00:08:56,620","00:08:56,703 --> 00:08:58,830",151,"00:08:55,244 --> 00:08:58,830",sharkstooth gauze and two legs.,"- I don't... - So we got you the, uh, sharkstooth gauze and two legs."
1 eng.srt,174,176,"00:09:17,057 --> 00:09:18,517","00:09:22,271 --> 00:09:24,940",160,"00:09:17,057 --> 00:09:24,940","you know, for new drapes to f... To finish the drapes,","Well, we just recommend that, you know, for new drapes to f... To finish the drapes, so you have your curtain lining to, you know, extend the life span."
